value,n,share,nWithViews,medianViews,liftVsMedian,reportable
UGC,371,92.8,352,31350,1.04,True
Static Graphic,11,2.8,0,,,True
Lifestyle,8,2.0,4,,,True
Product-Only,6,1.5,3,,,True
Cinematic,2,0.5,2,,,False
Polished Brand,2,0.5,2,,,False
