rank,name,handle,subType,igFollowers,ttFollowers,creatorPosts,creatorPostsIg,creatorPostsTt,creatorViews,uniqueCreators,viewsPerPost,engagementPerPost,viewsPerFollower,adsLive,adsOver30d,adsOver60d,pctVideoAds,pctUgcAds,band,shareOfCategoryViews
51,OWYN,liveowyn,,90055,8221,10,10,0,47401,9,4740,133,0.18,14,0,0,36.8,,bottom half,0.06
52,Frog Fuel,frogfuelactual,,76139,12500,7,4,3,41690,6,5955,367,0.13,0,0,0,,,bottom half,0.05
53,Koia,drinkkoia,,119556,,24,24,0,39045,20,1626,491,0.13,0,0,0,,,bottom half,0.05
54,Momentous,live.momentous,,154564,,11,11,0,30571,6,2779,2891,0.21,0,0,0,,,bottom half,0.04
55,Laird Superfood,lairdsuperfood,,373859,146000,13,12,1,27347,13,2103,193,0.11,13,21,0,43.2,33.3,bottom half,0.03
56,ZOA Energy,zoaenergy,,333436,,5,3,2,24243,5,4848,188,0.11,16,0,0,100.0,,bottom half,0.03
57,PRÉS,drinkpres,,3179,,18,18,0,20795,17,1155,225,0.16,0,0,0,,,bottom half,0.02
58,Rheal,rhealsuperfoods,,293005,80000,17,16,1,18787,7,1105,338,0.13,105,2,0,48.1,50.0,bottom half,0.02
59,Power Crunch,powercrunch,,43839,37400,6,4,2,16953,5,2825,80,0.27,11,8,0,46.4,,bottom half,0.02
60,Ascent,ascent_protein,,71580,,8,8,0,16796,8,2099,258,0.1,0,0,0,,,bottom half,0.02
61,UFIT,ufitdrinks,,19483,,4,4,0,15504,4,3876,93,0.16,4,1,0,16.7,,bottom half,0.02
62,Misfits,eatmisfits,,106040,,14,14,0,12568,14,897,115,0.07,0,0,0,,,bottom half,0.01
63,Tenzing,tenzing,,39032,0,14,14,0,12129,9,866,22,0.07,61,14,9,40.0,,bottom half,0.01
64,London Nootropics,london.nootropics,,57889,6472,9,9,0,10148,8,1127,178,0.04,84,127,1,78.1,33.3,bottom half,0.01
65,Grenade,grenadeofficial,,257875,,4,4,0,9523,4,2380,473,1.83,13,0,0,41.2,,bottom half,0.01
66,DIRTEA,dirteaworld,,384234,331000,11,10,1,6424,10,584,930,0.03,0,0,0,,,bottom half,0.01
67,Throne Sport Coffee,sportcoffee,,27289,,3,3,0,5404,3,1801,679,0.3,5,5,0,0.0,,bottom half,0.01
68,Jot,jot,,58282,,1,1,0,5387,1,5387,252,0.31,0,0,0,,,bottom half,0.01
69,MaxiNutrition,maxinutrition_uk,,56039,214,1,1,0,4998,1,4998,108,1.0,4,6,6,87.5,,bottom half,0.01
70,Ripple,ripplefoods,,82020,,2,2,0,4853,2,2426,2504,0.08,0,0,0,,,bottom half,0.01
71,Four Sigmatic,foursigmatic,,299304,12600,4,4,0,4345,4,1086,844,0.17,27,2,0,30.0,0.0,bottom half,0.01
72,Purition,puritionuk,,46417,,4,4,0,3961,3,990,61,0.18,17,34,29,93.2,33.3,bottom half,0.0
73,Trek,eattrek,,20643,,6,6,0,1989,6,331,333,0.01,0,0,0,,,bottom half,0.0
74,Fulfil Nutrition,fulfil_nutrition,,67423,43300,2,1,1,1768,2,884,259,0.13,0,0,0,,,bottom half,0.0
75,Isopure,isopurecompany,,,3491,1,0,1,217,1,217,15,0.0,0,0,0,,,bottom half,0.0
76,Lifecykel,lifecykel,,426744,,0,0,0,0,0,,,,19,42,33,73.3,33.3,bottom half,0.0
77,ONE Brands,one1brands,,142419,12600,9,9,0,0,1,0,58,,0,0,0,,,bottom half,0.0
78,Super Coffee,drinksupercoffee,,108926,57900,1,1,0,0,1,0,1111,,0,0,0,,,bottom half,0.0
79,Clevr Blends,clevrblends,,107144,7563,1,1,0,0,1,0,188,,58,46,18,68.2,66.7,bottom half,0.0
80,PhD Nutrition,phdnutrition,,92945,,0,0,0,0,0,,,,0,0,0,,,bottom half,0.0
81,USN,usnuk,,85041,,0,0,0,0,0,,,,0,0,0,,,bottom half,0.0
82,Rasa,wearerasa,,57158,1991,0,0,0,0,0,,,,9,4,0,62.5,,bottom half,0.0
83,Clean Cause,cleancause,,46969,63800,0,0,0,0,0,,,,1,0,0,0.0,,bottom half,0.0
84,Teeccino,teeccino,,45807,1618,3,3,0,0,2,0,409,,48,29,11,21.5,33.3,bottom half,0.0
85,Pulsin,pulsinhq,,26673,,0,0,0,0,0,,,,0,0,0,,,bottom half,0.0
86,Cheerful Buddha,cheerful_buddha,,13114,,0,0,0,0,0,,,,0,0,0,,,bottom half,0.0
87,Evolve,drinkevolve,,11636,,0,0,0,0,0,,,,0,0,0,,,bottom half,0.0
88,Wunderground,wundergroundcoffee,,11271,1173,1,1,0,0,1,0,57,,8,0,0,40.0,,bottom half,0.0
89,CLICK,drinkclick,,10523,,0,0,0,0,0,,,,0,0,0,,,bottom half,0.0
90,brüst,brustbevco,,8905,,1,1,0,0,1,0,1379,,3,0,0,100.0,,bottom half,0.0
91,Atomo Coffee,atomocoffee,,6347,186,0,0,0,0,0,,,,0,0,0,,,bottom half,0.0
92,BodyBrain Coffee,bodybraincoffee,,4425,1139,0,0,0,0,0,,,,1,0,0,100.0,,bottom half,0.0
93,Josie,drinkjosie,,3413,331,0,0,0,0,0,,,,0,0,0,,,bottom half,0.0
94,Drink Prox,drinkprox,,2654,417,0,0,0,0,0,,,,0,0,0,,,bottom half,0.0
95,Wild Calf,wildcalfcoffee,,1199,,0,0,0,0,0,,,,0,0,0,,,bottom half,0.0
96,Gorgie,drinkgorgie,,,,0,0,0,0,0,,,,0,0,0,,,bottom half,0.0
97,Om Mushroom,ommushrooms,,,,1,1,0,0,1,0,15,,0,0,0,,,bottom half,0.0
