platform,brandPosts,brandPostsWithViews,creatorPosts,creatorPostsWithViews,brandMedianViews,creatorMedianViews,multiplierViews,brandMedianEngagement,creatorMedianEngagement,multiplierEngagement,viewsReportable,engagementReportable
instagram,100,0,216,179,,69114,,610,1176,1.9,False,True
tiktok,194,194,184,184,271850,21300,0.1,4832,1198,0.2,True,True
